COLID,BlockID,MaxCurrentRate,Latitude,Longitude,Average.Duration.of.Paid.Parkers.in.Hours,Unpaid.Vehicles,Expired.Vehicles,Exempt.Vehicles,Spaces.Occupied,Survey.Count,Receipt.Transactions,Mobile.Transactions,StreetDirection,StreetSide,BlockDescription,BlockStartNumber,BlockEndNumber,TerminalLocationAddress,TerminalID,Area,Zone,ID,X,Y,megaCluster,Demand,Cars,ExpectedTimePerVehicle,PercentageCheck,TerminalTypeName,Driving_Blocks,Night_Blocks
756,B287707,2,41.86658171,-87.64795683,1.084,16,2,0,72,27,3597,1967,S,W, 1204 - 1234 S NEWBERRY AVE ,1204,1234,1216 S NEWBERRY AVE,287707,287,7,756,446225.6807,4635166.056,0,0.666666667,2.666666667,20.49298008,1,MP104,0,0
757,B287709,2,41.8663555,-87.64689468,1.033,17,2,1,147,29,9177,10455,S,W, 1210 - 1320 S HALSTED ST ,1210,1320,1234 S HALSTED ST,287709,287,7,757,446313.6403,4635140.275,0,0.655172414,5.068965517,21.97658559,1,MP104,0,0
758,B287711,2,41.86452131,-87.64685243,1.075,11,9,0,127,25,14325,11519,S,W, 1334 - 1382 S HALSTED ST ,1334,1382,1338 S HALSTED ST,287711,287,7,758,446315.6123,4634936.604,0,0.8,5.08,20.9298448,1,MP104,0,0
759,B287713,2,41.86391007,-87.64679678,1.104,9,5,3,94,26,9150,7950,S,E, 1345 - 1361 S HALSTED ST ,1345,1361,1351 S HALSTED ST,287713,287,7,759,446319.7196,4634868.705,0,0.538461538,3.615384615,21.06088751,1,MP104,0,0
760,B287714,2,41.8655685,-87.64683098,1.151,11,4,5,126,24,12044,9541,S,E, 1249 - 1321 S HALSTED ST ,1249,1321,1263 S HALSTED ST,287714,287,7,760,446318.2685,4635052.857,0,0.625,5.25,20.32176147,1,MP104,0,0
761,B287720,2,41.86670405,-87.64508955,1.394,19,7,1,134,29,6596,4687,S,E, 1239 - 1357 S UNION AVE ,1239,1357,1245 S UNION AVE,287720,287,7,761,446463.7411,4635177.847,0,0.896551724,4.620689655,21.76250675,1,MP104,0,1
762,B288301,2,41.87508276,-87.67428473,1.73,3,1,0,16,12,156,14,W,N, 1900 - 1946 W CONGRESS PKWY ,1900,1946,1918 W CONGRESS PKWY,288302,288,3,762,444048.116,4636126.731,0,0.333333333,1.333333333,17.76470588,1,MP104,0,0
763,B288303,2,41.87510124,-87.67217718,1.559,39,4,0,199,49,1929,788,W,N, 1800 - 1842 W CONGRESS PKWY ,1800,1842,1816 W CONGRESS PKWY,288304,288,3,763,444223.0166,4636127.411,0,0.87755102,4.06122449,19.25010761,1,MP104,0,0
764,B288305,2,41.87506928,-87.67264254,1.539,28,10,2,293,68,3831,1398,W,S, 1805 - 1849 W CONGRESS PKWY ,1805,1849,1831 W CONGRESS PKWY,288306,288,3,764,444184.3732,4636124.165,0,0.558823529,4.308823529,17.38670012,1,MP104,0,0
765,B288307,2,41.87504182,-87.67562248,1.517,0,0,0,6,11,582,150,W,S, 1907 - 1953 W CONGRESS PKWY ,1907,1953,1937 W CONGRESS PKWY,288308,288,3,765,443937.0736,4636123.058,0,0,0.545454545,14.09836066,1,MP104,0,0
766,B289301,2,41.87403374,-87.67592557,1.404,20,3,1,90,47,1899,482,W,S, 1943 - 1955 W HARRISON ST ,1943,1955,1949 W HARRISON ST,289301,289,3,766,443911.0418,4636011.332,0,0.489361702,1.914893617,18.46895351,1,MP104,0,0
767,B289302,2,41.87410763,-87.67205179,1.429,80,16,0,572,74,9791,3259,W,S, 1803 - 1917 W HARRISON ST ,1803,1917,1809 W HARRISON ST,289303,289,3,767,444232.5577,4636017.011,0,1.297297297,7.72972973,17.76485706,1,MP104,0,0
768,B289304,2,41.87413609,-87.67212622,1.485,66,18,0,566,82,8449,3077,W,N, 1802 - 1844 W HARRISON ST ,1802,1844,1814 W HARRISON ST,289304,289,3,768,444226.4061,4636020.22,0,1.024390244,6.902439024,17.66282629,1,MP104,0,0
769,B289306,2,41.8740602,-87.67609321,1.536,52,11,0,255,60,4387,906,W,N, 1928 - 1950 W HARRISON ST ,1928,1950,1940 W HARRISON ST,289306,289,3,769,443897.1539,4636014.379,0,1.05,4.25,17.73878801,1,MP104,0,0
770,B290402,4,41.87858572,-87.64480658,1.326,38,10,4,182,67,3189,4094,W,S, 735 - 749 W QUINCY ST ,735,749,745 W QUINCY ST,290402,290,4,770,446497.1349,4636496.858,1,0.71641791,2.71641791,23.67241315,1,MP104,0,0
771,B290403,4,41.87851233,-87.64726885,0.981,10,2,1,76,85,2169,1823,S,W, 228 - 230 S HALSTED ST ,228,230,228 S HALSTED ST,290403,290,4,771,446292.7655,4636490.248,0,0.141176471,0.894117647,21.05092538,1,MP104,0,0
772,B290404,4,41.87772697,-87.64724404,0.877,2,3,0,44,82,1360,1113,S,W, 302 - 302 S HALSTED ST ,302,302,302 S HALSTED ST,290404,290,4,772,446294.1666,4636403.036,0,0.06097561,0.536585366,20.4484219,1,MP104,0,0
773,B291301,2,41.86927021,-87.66729221,1.601,5,2,1,137,42,2037,2234,W,N, 1604 - 1616 W TAYLOR ST ,1604,1616,1610 W TAYLOR ST,291301,291,3,773,444623.3385,4635476.845,0,0.166666667,3.261904762,20.97487528,1,MP104,0,0
774,B291302,2,41.86925373,-87.66807206,1.528,21,1,0,141,49,2943,2133,W,N, 1630 - 1640 W TAYLOR ST ,1630,1640,1636 W TAYLOR ST,291302,291,3,774,444558.6064,4635475.518,0,0.448979592,2.87755102,20.32234842,1,MP104,0,1
775,B291303,2,41.86915586,-87.67509609,1.51,41,14,1,347,64,4544,5487,W,N, 1922 - 1944 W TAYLOR ST ,1922,1944,1936 W TAYLOR ST,291303,291,3,775,443975.6138,4635469.213,0,0.859375,5.421875,22.42753435,1,MP104,0,0
776,B291304,2,41.86923676,-87.66758524,1.541,18,8,7,251,54,4230,3683,W,S, 1615 - 1645 W TAYLOR ST ,1615,1645,1619 W TAYLOR ST,291305,291,3,776,444598.9918,4635473.32,0,0.481481481,4.648148148,20.51207859,1,MP104,0,0
777,B291307,2,41.86914088,-87.67409362,1.457,66,14,7,456,63,8036,5878,W,S, 1907 - 1947 W TAYLOR ST ,1907,1947,1927 W TAYLOR ST,291308,291,3,777,444058.7934,4635466.896,0,1.26984127,7.238095238,20.67573442,1,MP104,0,0
785,B294601,2,41.80025169,-87.73283064,0.904,16.52020345,4.242723933,3.730714891,131.670811,50.36083639,1119,214,S,W, 5150 - 5170 S ARCHER AVE ,5150,5170,5166 S ARCHER AVE,294601,294,6,785,439119.0859,4627858.304,0,0.412283212,2.61454774,22,1,MP104,0,0
786,B294602,2,41.78580907,-87.73330875,0.354,16.52020345,4.242723933,3.730714891,131.670811,50.36083639,210,42,W,S, 4401 - 4429 W 59TH ST ,4401,4429,4415 W 59TH ST,294602,294,6,786,439065.6881,4626255.139,0,0.412283212,2.61454774,22,1,MP104,0,0
787,B294603,2,41.78579457,-87.73464784,0.984,5,0,0,6,4,134,35,W,S, 4431 - 4465 W 59TH ST ,4431,4465,4449 W 59TH ST,294603,294,6,787,438954.4019,4626254.479,0,1.25,1.5,27.35700197,1,MP104,0,0
788,B294604,2,41.78578557,-87.73568183,1.329,3,0,0,5,4,346,143,W,S, 4501 - 4529 W 59TH ST ,4501,4529,4515 W 59TH ST,294604,294,6,788,438868.4734,4626254.214,0,0.75,1.25,24.3394683,1,MP104,0,0
789,B295301,2,41.89590095,-87.67811827,1.075,34,0,0,209,84,9324,9550,W,N, 2016 - 2058 W CHICAGO AVE ,2016,2058,2024 W CHICAGO AVE,295301,295,3,789,443748.2737,4638440.628,0,0.404761905,2.488095238,21.8163515,1,MP104,0,0
790,B295303,2,41.89584555,-87.68116727,1.156,26,3,1,125,82,4612,4182,W,N, 2114 - 2156 W CHICAGO AVE ,2114,2156,2138 W CHICAGO AVE,295304,295,3,790,443495.3009,4638436.481,0,0.353658537,1.524390244,22.30167358,1,MP104,0,0
791,B295305,2,41.89579913,-87.68380322,1.007,35,4,7,148,83,5899,4526,W,N, 2202 - 2256 W CHICAGO AVE ,2202,2256,2244 W CHICAGO AVE,295306,295,3,791,443276.5994,4638433.066,0,0.469879518,1.78313253,22.1044002,1,MP104,0,0
792,B295307,2,41.89578166,-87.68489353,0.988,6,4,0,51,78,3077,2260,W,N, 2302 - 2346 W CHICAGO AVE ,2302,2346,2308 W CHICAGO AVE,295307,295,3,792,443186.1391,4638431.848,0,0.128205128,0.653846154,21.03158245,1,MP104,0,0
793,B295309,2,41.89573674,-87.68608443,0.981,24,5,0,138,76,6791,3975,W,S, 2301 - 2341 W CHICAGO AVE ,2301,2341,2329 W CHICAGO AVE,295309,295,3,793,443087.3102,4638427.65,0,0.381578947,1.815789474,20.43313827,1,MP104,0,0
794,B295311,2,41.89577567,-87.68351354,0.868,28,6,2,127,81,8479,3716,W,S, 2213 - 2255 W CHICAGO AVE ,2213,2255,2235 W CHICAGO AVE,295311,295,3,794,443300.6085,4638430.27,0,0.419753086,1.567901235,20.47202102,1,MP104,0,0
795,B295313,2,41.89582408,-87.68067777,1.179,13,0,1,70,75,3698,4189,W,S, 2119 - 2149 W CHICAGO AVE ,2119,2149,2127 W CHICAGO AVE,295313,295,3,795,443535.8876,4638433.775,0,0.173333333,0.933333333,22.41529248,1,MP104,0,0
796,B295314,2,41.8958745,-87.67800562,0.72,23,5,1,150,83,6958,9590,W,S, 2013 - 2057 W CHICAGO AVE ,2013,2057,2025 W CHICAGO AVE,295315,295,3,796,443757.5952,4638437.618,0,0.337349398,1.807228916,23.52056808,1,MP104,0,0
797,B295316,2,41.89956447,-87.67683148,1.275,9,0,0,37,29,1049,1523,W,N, 1934 - 1986 W AUGUSTA BLVD ,1934,1986,1970 W AUGUSTA BLVD,295316,295,3,797,443858.2259,4638846.538,0,0.310344828,1.275862069,23.88219285,1,MP104,0,0
798,B295317,2,41.89959891,-87.675023,1.404,11,0,0,48,27,1170,2716,W,N, 1902 - 1924 W AUGUSTA BLVD ,1902,1924,1906 W AUGUSTA BLVD,295317,295,3,798,444008.2664,4638849.179,0,0.407407407,1.777777778,25.35833762,1,MP104,0,0
799,B296301,2,41.8959878,-87.67275989,1.15,26,6,0,204,76,9928,9529,W,N, 1812 - 1852 W CHICAGO AVE ,1812,1852,1812 W CHICAGO AVE,296301,296,3,799,444192.8436,4638446.772,0,0.421052632,2.684210526,21.59914326,1,MP104,0,0
800,B296305,2,41.89594388,-87.6751437,1.214,6,2,0,109,76,3916,6060,W,N, 1902 - 1926 W CHICAGO AVE ,1902,1926,1910 W CHICAGO AVE,296305,296,3,800,443995.0611,4638443.449,0,0.105263158,1.434210526,22.77100685,1,MP104,0,0
801,B296306,2,41.89615651,-87.67581224,1.122,9,2,0,49,75,1636,2545,N,E, 803 - 811 N WINCHESTER AVE ,803,811,807 N WINCHESTER AVE,296306,296,3,801,443939.7896,4638467.493,0,0.146666667,0.653333333,23.96755162,1,MP104,0,0
802,B296307,2,41.89618795,-87.67585047,1.073,2,2,0,37,75,1875,2081,N,W, 802 - 808 N WINCHESTER AVE ,802,808,804 N WINCHESTER AVE,296307,296,3,802,443936.6458,4638471.009,0,0.053333333,0.493333333,21.70563701,1,MP104,0,0
803,B296309,2,41.89615101,-87.67704003,1.021,4,1,1,49,76,2531,2851,N,E, 803 - 811 N DAMEN AVE ,803,811,807 N DAMEN AVE,296309,296,3,803,443837.9362,4638467.685,0,0.065789474,0.644736842,21.59515169,1,MP104,0,0
804,B296310,2,41.8958745,-87.67569691,1.354,27,8,0,238,80,7107,12673,W,S, 1907 - 1951 W CHICAGO AVE ,1907,1951,1927 W CHICAGO AVE,296310,296,3,804,443949.1099,4638436.107,0,0.4375,2.975,23.92193423,1,MP104,0,0
805,B296311,2,41.89592241,-87.67629035,1.179,5,5,0,96,75,3588,4660,W,N, 1938 - 1944 W CHICAGO AVE ,1938,1944,1942 W CHICAGO AVE,296311,296,3,805,443899.9242,4638441.814,0,0.133333333,1.28,22.25578495,1,MP104,0,0
806,B296312,2,41.89571777,-87.67458111,1.009,3,3,0,44,79,1697,1450,N,E, 751 - 759 N WOLCOTT AVE ,751,759,755 N WOLCOTT AVE,296312,296,3,806,444041.5322,4638417.977,0,0.075949367,0.556962025,20.75582187,1,MP104,0,0
807,B296313,2,41.8959324,-87.67403595,1.114,27,8,2,322,80,14654,12686,W,S, 1805 - 1857 W CHICAGO AVE ,1805,1857,1845 W CHICAGO AVE,296313,296,3,807,444086.9423,4638441.451,0,0.4375,4.025,20.54345454,1,MP104,0,0
808,B296315,2,41.89558001,-87.67702393,0.929,4,0,1,37,75,2586,3564,N,E, 741 - 751 N DAMEN AVE ,741,751,745 N DAMEN AVE,296315,296,3,808,443838.7715,4638404.278,0,0.053333333,0.493333333,22.57962697,1,MP104,0,0
809,B296317,2,41.89614003,-87.67707825,1.039,2,0,0,22,75,1418,1249,N,W, 808 - 810 N DAMEN AVE ,808,810,810 N DAMEN AVE,296317,296,3,809,443834.7561,4638466.491,0,0.026666667,0.293333333,20.33302655,1,MP104,0,0
810,B296319,2,41.89615401,-87.67460056,1.013,5,1,0,24,72,1039,1235,N,E, 805 - 811 N WOLCOTT AVE ,805,811,809 N WOLCOTT AVE,296319,296,3,810,444040.2996,4638466.424,0,0.083333333,0.333333333,23.47279809,1,MP104,0,0
811,B296320,2,41.89614552,-87.67463744,0.983,2,0,0,18,70,1104,1143,N,W, 806 - 812 N WOLCOTT AVE ,806,812,808 N WOLCOTT AVE,296320,296,3,811,444037.2329,4638465.506,0,0.028571429,0.257142857,21.32961596,1,MP104,0,0
812,B296321,2,41.89574023,-87.67462201,1.055,6,1,0,39,78,1763,1310,N,W, 750 - 754 N WOLCOTT AVE ,750,754,752 N WOLCOTT AVE,296321,296,3,812,444038.159,4638420.497,0,0.08974359,0.5,20.58532963,1,MP104,0,0
813,B296322,2,41.89554407,-87.67706282,0.839,1,1,0,8,74,817,876,N,W, 728 - 732 N DAMEN AVE ,728,732,730 N DAMEN AVE,296322,296,3,813,443835.5139,4638400.313,0,0.027027027,0.108108108,23.106067,1,MP104,0,0
814,B297302,2,41.89623886,-87.66849786,0.953,6,3,2,53,71,1835,1821,N,E, 803 - 809 N MARSHFIELD AVE ,803,809,805 N MARSHFIELD AVE,297302,297,3,814,444546.6089,4638471.883,0,0.126760563,0.746478873,21.96936543,1,MP104,0,0
815,B297303,2,41.8960472,-87.66901016,0.669,8,2,1,81,76,8121,5365,W,N, 1636 - 1654 W CHICAGO AVE ,1636,1654,1644 W CHICAGO AVE,297303,297,3,815,444503.9463,4638450.934,0,0.131578947,1.065789474,19.78118722,1,MP104,0,0
816,B297304,2,41.89634468,-87.66972564,0.852,7,1,0,37,69,1524,1278,N,E, 805 - 811 N PAULINA ST ,805,811,809 N PAULINA ST,297304,297,3,816,444444.853,4638484.426,0,0.115942029,0.536231884,21.68157199,1,MP104,0,0
817,B297305,2,41.8963287,-87.66976319,0.953,4,0,1,30,68,1197,1011,N,W, 804 - 812 N PAULINA ST ,804,812,808 N PAULINA ST,297305,297,3,817,444441.7242,4638482.676,0,0.058823529,0.441176471,20.65311094,1,MP104,0,0
818,B297306,2,41.89602923,-87.67039418,1.124,8,4,0,91,74,4996,6557,W,N, 1704 - 1726 W CHICAGO AVE ,1704,1726,1714 W CHICAGO AVE,297306,297,3,818,444389.1222,4638449.835,0,0.162162162,1.22972973,22.60159829,1,MP104,0,0
819,B297307,2,41.89624236,-87.67094202,0.859,0,1,2,21,78,1940,1223,N,E, 805 - 811 N HERMITAGE AVE ,805,811,807 N HERMITAGE AVE,297307,297,3,819,444343.8623,4638473.854,0,0.012820513,0.269230769,18.41465557,1,MP104,0,0
820,B297308,2,41.89629576,-87.67098159,0.785,2,1,0,24,79,2693,1391,N,W, 804 - 812 N HERMITAGE AVE ,804,812,808 N HERMITAGE AVE,297308,297,3,820,444340.6263,4638479.808,0,0.037974684,0.303797468,18.79015671,1,MP104,0,0
821,B297309,2,41.89601076,-87.67149657,1.062,12,2,0,93,84,6090,5754,W,N, 1738 - 1748 W CHICAGO AVE ,1738,1748,1744 W CHICAGO AVE,297309,297,3,821,444297.6597,4638448.5,0,0.166666667,1.107142857,21.35235332,1,MP104,0,0
822,B297310,2,41.89628378,-87.67216444,0.708,6,2,0,31,78,2542,937,N,E, 805 - 811 N WOOD ST ,805,811,807 N WOOD ST,297310,297,3,822,444242.4954,4638479.246,0,0.102564103,0.397435897,19.56186096,1,MP104,0,0
823,B297311,2,41.89629177,-87.67220333,0.739,1,0,0,14,74,1982,699,N,W, 804 - 812 N WOOD ST ,804,812,810 N WOOD ST,297311,297,3,823,444239.2763,4638480.159,0,0.013513514,0.189189189,16.5586111,1,MP104,0,0
824,B297313,2,41.89574772,-87.67214432,0.9,6,2,1,43,84,2721,1397,N,E, 751 - 757 N WOOD ST ,751,757,753 N WOOD ST,297313,297,3,824,444243.6981,4638419.716,0,0.095238095,0.511904762,19.56698448,1,MP104,0,0
825,B297314,2,41.89599029,-87.67100841,1.106,19,4,0,192,85,12383,11234,W,S, 1701 - 1751 W CHICAGO AVE ,1701,1751,1735 W CHICAGO AVE,297314,297,3,825,444338.1362,4638445.91,0,0.270588235,2.258823529,20.83146321,1,MP104,0,0
826,B297316,2,41.89576768,-87.66972899,1.079,3,1,0,19,71,1025,646,N,W, 752 - 758 N PAULINA ST ,752,758,756 N PAULINA ST,297316,297,3,826,444444.075,4638420.365,0,0.056338028,0.267605634,20.31465558,1,MP104,0,0
827,B297317,2,41.89567384,-87.66968675,1.102,4,3,4,49,76,1859,1480,N,E, 751 - 757 N PAULINA ST ,751,757,755 N PAULINA ST,297317,297,3,827,444447.4976,4638409.919,0,0.092105263,0.644736842,20.59705168,1,MP104,0,0
828,B297318,2,41.89602124,-87.66890958,0.998,9,6,5,131,86,6056,8326,W,S, 1611 - 1651 W CHICAGO AVE ,1611,1651,1641 W CHICAGO AVE,297318,297,3,828,444512.2672,4638447.987,0,0.174418605,1.523255814,22.66736678,1,MP104,0,0
829,B297320,2,41.89623137,-87.66853742,0.894,3,2,2,31,64,1474,1229,N,W, 806 - 812 N MARSHFIELD AVE ,806,812,808 N MARSHFIELD AVE,297320,297,3,829,444543.3208,4638471.077,0,0.078125,0.484375,21.04117119,1,MP104,0,0
830,B297321,2,41.89607215,-87.66794465,1.017,5,1,0,40,70,3590,2976,W,N, 1620 - 1624 W CHICAGO AVE ,1620,1624,1620 W CHICAGO AVE,297321,297,3,830,444592.355,4638453.016,0,0.085714286,0.571428571,20.88739974,1,MP104,0,0
831,B297322,2,41.89574173,-87.67218187,0.955,0,1,0,14,76,956,515,N,W, 754 - 758 N WOOD ST ,754,758,754 N WOOD ST,297322,297,3,831,444240.578,4638419.075,0,0.013157895,0.184210526,18.00188255,1,MP104,0,0
832,B298301,2,41.89627779,-87.65610673,1.202,3,2,0,24,65,1576,2228,W,N, 1136 - 1146 W CHICAGO AVE ,1136,1146,1140 W CHICAGO AVE,298301,298,3,832,445574.5188,4638468.27,0,0.076923077,0.369230769,23.44023835,1,MP104,0,0
833,B298302,2,41.89616249,-87.66301945,1.206,7,2,0,66,64,4312,8148,W,N, 1408 - 1414 W CHICAGO AVE ,1408,1414,1412 W CHICAGO AVE,298302,298,3,833,445000.9919,4638459.877,0,0.140625,1.03125,24.06741573,1,MP104,0,0
834,B298303,2,41.89614203,-87.66423516,1.168,8,0,0,49,66,3685,4842,W,N, 1430 - 1450 W CHICAGO AVE ,1430,1450,1446 W CHICAGO AVE,298303,298,3,834,444900.1279,4638458.385,0,0.121212121,0.742424242,22.8934235,1,MP104,0,0
835,B298304,2,41.89612506,-87.66533889,1.107,14,3,0,114,70,8794,7899,W,N, 1502 - 1546 W CHICAGO AVE ,1502,1546,1510 W CHICAGO AVE,298304,298,3,835,444808.5558,4638457.211,0,0.242857143,1.628571429,21.12231563,1,MP104,0,0
836,B298306,2,41.89666911,-87.66719498,0.927,8,3,0,36,67,3183,2910,N,E, 813 - 823 N ASHLAND AVE ,813,823,817 N ASHLAND AVE,298306,298,3,836,444655.0577,4638518.811,0,0.164179104,0.537313433,22.74440615,1,MP104,0,0
837,B298307,2,41.89734542,-87.66721107,1.095,6,1,1,33,66,2209,2638,N,E, 831 - 845 N ASHLAND AVE ,831,845,843 N ASHLAND AVE,298307,298,3,837,444654.3069,4638593.911,0,0.106060606,0.5,22.87897153,1,MP104,0,0
838,B298308,2,41.8984849,-87.667256,0.945,2,1,1,37,66,2780,1748,N,E, 903 - 925 N ASHLAND AVE ,903,925,919 N ASHLAND AVE,298308,298,3,838,444651.5639,4638720.453,0,0.045454545,0.560606061,18.80430264,1,MP104,0,0
839,B298309,2,41.89926401,-87.66727477,0.868,18,0,0,69,72,5777,2744,N,E, 933 - 953 N ASHLAND AVE ,933,953,945 N ASHLAND AVE,298309,298,3,839,444650.6797,4638806.968,0,0.25,0.958333333,20.31468473,1,MP104,0,0
840,B298310,2,41.89818593,-87.667429,1.038,3,0,0,16,62,1898,1158,N,W, 904 - 918 N ASHLAND AVE ,904,918,908 N ASHLAND AVE,298310,298,3,840,444636.9554,4638687.371,0,0.048387097,0.258064516,20.44502618,1,MP104,0,0
841,B298311,2,41.89707889,-87.66739145,1.102,5,2,0,24,61,1799,1165,N,W, 848 - 858 N ASHLAND AVE ,848,858,852 N ASHLAND AVE,298311,298,3,841,444639.114,4638564.435,0,0.114754098,0.393442623,21.72340817,1,MP104,0,0
842,B298312,2,41.89654782,-87.66737938,1.056,2,0,1,22,63,2802,3445,N,W, 810 - 830 N ASHLAND AVE ,810,830,824 N ASHLAND AVE,298312,298,3,842,444639.6566,4638505.463,0,0.031746032,0.349206349,22.1506323,1,MP104,0,0
843,B298313,2,41.89567884,-87.66736396,1.187,4,2,6,34,74,991,1358,N,W, 736 - 752 N ASHLAND AVE ,736,752,742 N ASHLAND AVE,298313,298,3,843,444640.1852,4638408.973,0,0.081081081,0.459459459,23.67177522,1,MP104,0,0
844,B298314,2,41.89572975,-87.66718291,1.107,4,2,1,35,79,1943,1310,N,E, 735 - 743 N ASHLAND AVE ,735,743,741 N ASHLAND AVE,298314,298,3,844,444655.2479,4638414.508,0,0.075949367,0.443037975,20.44328312,1,MP104,0,0
845,B298316,2,41.89578365,-87.6656232,0.894,4,3,0,20,70,1334,889,N,E, 751 - 759 N ARMOUR ST ,751,759,755 N ARMOUR ST,298316,298,3,845,444784.6774,4638419.488,0,0.1,0.285714286,22.66556705,1,MP104,0,0
846,B298317,2,41.89609811,-87.66515113,1.234,11,3,1,74,74,2480,4450,W,S, 1443 - 1515 W CHICAGO AVE ,1443,1515,1505 W CHICAGO AVE,298317,298,3,846,444824.1078,4638454.098,0,0.189189189,1,24.31627196,1,MP104,0,0
847,B298318,2,41.89613055,-87.66313009,1.185,13,5,1,123,73,6175,8638,W,S, 1409 - 1429 W CHICAGO AVE ,1409,1429,1417 W CHICAGO AVE,298318,298,3,847,444991.7866,4638456.402,0,0.246575342,1.684931507,22.97913994,1,MP104,0,0
848,B298319,2,41.89624186,-87.65668608,1.273,2,1,0,30,67,1352,2058,W,S, 1133 - 1139 W CHICAGO AVE ,1133,1139,1135 W CHICAGO AVE,298319,298,3,848,445526.4297,4638464.649,0,0.044776119,0.447761194,22.98533724,1,MP104,0,0
849,B298320,2,41.89607615,-87.66652778,0.918,7,2,0,45,74,5931,3028,W,S, 1525 - 1543 W CHICAGO AVE ,1525,1543,1541 W CHICAGO AVE,298320,298,3,849,444709.8919,4638452.546,0,0.121621622,0.608108108,19.89554755,1,MP104,0,0
850,B299301,2,41.90023826,-87.66731702,1.117,11,4,0,105,35,3798,2208,N,E, 1003 - 1021 N ASHLAND AVE ,1003,1021,1015 N ASHLAND AVE,299301,299,3,850,444648.0165,4638915.164,0,0.428571429,3,19.41471572,1,MP104,0,0
851,B299302,2,41.90097492,-87.66734317,1.295,12,6,15,159,34,6267,3879,N,E, 1035 - 1049 N ASHLAND AVE ,1035,1049,1045 N ASHLAND AVE,299302,299,3,851,444646.4837,4638996.971,0,0.529411765,4.676470588,19.34380939,1,MP104,0,0
852,B299303,2,41.90198258,-87.66737133,1.167,41,7,0,159,36,5241,4971,N,E, 1103 - 1121 N ASHLAND AVE ,1103,1121,1113 N ASHLAND AVE,299303,299,3,852,444645.0183,4639108.867,0,1.333333333,4.416666667,23.06459809,1,MP104,0,0
853,B299304,2,41.9027352,-87.66736664,1.089,8,1,2,77,33,2897,2362,N,E, 1141 - 1141 N ASHLAND AVE ,1141,1141,1141 N ASHLAND AVE,299304,299,3,853,444646.0574,4639192.426,0,0.272727273,2.333333333,20.46263264,1,MP104,0,0
854,B299306,2,41.90329217,-87.67122768,1.213,11,3,0,123,30,7630,16535,W,N, 1710 - 1752 W DIVISION ST ,1710,1752,1730 W DIVISION ST,299306,299,3,854,444326.2902,4639256.764,0,0.466666667,4.1,24.44722704,1,MP104,0,0
855,B299307,2,41.90312547,-87.68106602,1.249,14,5,0,154,30,12000,21624,W,N, 2102 - 2142 W DIVISION ST ,2102,2142,2132 W DIVISION ST,299308,299,3,855,443510.1165,4639244.687,0,0.633333333,5.133333333,23.79112767,1,MP104,0,0
856,B299309,2,41.90313496,-87.67891958,1.285,10,1,3,90,29,6577,13758,W,S, 2107 - 2153 W DIVISION ST ,2107,2153,2127 W DIVISION ST,299309,299,3,856,443688.1587,4639244.33,0,0.379310345,3.103448276,24.38864087,1,MP104,0,0
857,B299310,2,41.90325673,-87.67179564,1.215,4,1,0,66,26,4059,8706,W,S, 1741 - 1757 W DIVISION ST ,1741,1757,1747 W DIVISION ST,299310,299,3,857,444279.1508,4639253.198,0,0.192307692,2.538461538,24.17038778,1,MP104,0,0
858,B299311,2,41.90327719,-87.6704713,1.074,2,1,0,63,26,5154,8966,W,S, 1711 - 1723 W DIVISION ST ,1711,1723,1711 W DIVISION ST,299311,299,3,858,444389.014,4639254.61,0,0.115384615,2.423076923,23.06473088,1,MP104,0,0
859,B299312,2,41.90329466,-87.66903765,1.102,2,0,4,68,25,6726,9319,W,S, 1637 - 1657 W DIVISION ST ,1637,1657,1641 W DIVISION ST,299312,299,3,859,444507.9411,4639255.621,0,0.08,2.72,21.88652882,1,MP104,0,0
860,B299313,2,41.90254056,-87.66754836,0.913,28,4,0,189,36,8787,5840,N,W, 1128 - 1156 N ASHLAND AVE ,1128,1156,1142 N ASHLAND AVE,299313,299,3,860,444630.8166,4639170.933,0,0.888888889,5.25,20.38818623,1,MP104,0,0
861,B299314,2,41.90188975,-87.66753025,1.071,24,4,2,127,36,4976,3720,N,W, 1104 - 1118 N ASHLAND AVE ,1104,1118,1110 N ASHLAND AVE,299314,299,3,861,444631.7564,4639098.663,0,0.777777778,3.527777778,21.46876307,1,MP104,0,0
862,B299315,2,41.90136771,-87.6675155,1.185,8,3,0,50,35,2047,1336,N,W, 1048 - 1060 N ASHLAND AVE ,1048,1060,1056 N ASHLAND AVE,299315,299,3,862,444632.5289,4639040.693,0,0.314285714,1.428571429,21.14510861,1,MP104,0,0
863,B299316,2,41.90055968,-87.6674927,1.246,37,4,5,256,42,10046,4785,N,W, 1004 - 1040 N ASHLAND AVE ,1004,1040,1026 N ASHLAND AVE,299316,299,3,863,444633.722,4638950.964,0,0.976190476,6.095238095,18.91039637,1,MP104,0,0
864,B300301,2,41.9033296,-87.66680606,1.339,10,2,0,78,34,2540,2040,W,S, 1541 - 1551 W DIVISION ST ,1541,1551,1543 W DIVISION ST,300301,300,3,864,444693.0672,4639258.059,0,0.352941176,2.294117647,20.95599597,1,MP104,0,0
